set FRENCH := F1 F2 F3 F4 F5 F6 F7 F8 F9 F10;

set AMERICAN:= A1 A2 A3 A4 A5 A6 A7 A8 A9 A10;

param F :
	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10 :=
F1	2	4	3	6	7	1	10	5	8	9
F2	5	1	7	8	10	2	6	3	4	9
F3	4	8	2	1	5	6	10	3	9	7
F4	1	2	8	10	7	5	6	9	4	3
F5	10	8	6	1	9	5	3	4	7	2
F6	8	6	1	7	10	3	5	2	9	4
F7	1	2	3	4	10	9	8	7	5	6
F8	3	5	7	9	1	2	4	6	8	10
F9	9	7	5	3	1	10	8	6	4	2
F10	6	4	2	10	7	3	1	8	9	5
;

param A :
	A1	A2 A3	A4	A5	A6	A7	A8	A9	A10 :=
F1	5	10	4	8	6	3	2	9	7	1
F2	8	10	6	1	7	4	9	2	5	3
F3	1	3	9	8	4	6	7	2	10	5
F4	6	9	2	5	10	8	3	4	1	7
F5	9	4	1	10	3	6	8	5	2	7
F6	3	1	6	2	4	8	9	10	5	7
F7	7	5	1	3	4	2	6	10	8	9
F8	5	10	4	8	3	6	2	1	7	9
F9	1	2	3	7	8	9	10	4	5	6
F10	10	8	6	4	2	1	3	5	7	9
;
